_id,Name,Price,NewPrice,OldPrice,Size,Time,LastBump,Link
671c1df6e382a9df1b29a313,Chrome hearts matty boy,$567,,,M,,36 minutes ago,https://www.grailed.com/listings/69563021-chrome-hearts-chrome-hearts-matty-boy?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a314,Chrome Hearts Cemetery Ring - Size 10,$3495,,,OS,(7 days),37 minutes ago(7 days),https://www.grailed.com/listings/69217692-chrome-hearts-chrome-hearts-cemetery-ring-size-10?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a315,Chrome Hearts Horseshoe “Fuck You” Black Sweatpants Size: L,$875,,,36,,38 minutes ago,https://www.grailed.com/listings/69561067-chrome-hearts-chrome-hearts-horseshoe-fuck-you-black-sweatpants-size-l?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a316,Chrome Hearts Socks,$198,,,OS,,38 minutes ago,https://www.grailed.com/listings/69560802-chrome-hearts-chrome-hearts-socks?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a317,Chrome Hearts Matty Boy Stay Fast Hoodie Large,$900,,,L,(16 days),39 minutes ago(16 days),https://www.grailed.com/listings/68786277-chrome-hearts-chrome-hearts-matty-boy-stay-fast-hoodie-large?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a318,Vintage chrome Hearts Hoodie,,$675,$750,M,(11 days),42 minutes ago(11 days),https://www.grailed.com/listings/68983935-chrome-hearts-x-vintage-vintage-chrome-hearts-hoodie?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a319,Chrome Hearts Plus Silver Leather Patch Thin Hoodie,$375,,,XS,(14 days),44 minutes ago(14 days),https://www.grailed.com/listings/68870178-chrome-hearts-chrome-hearts-plus-silver-leather-patch-thin-hoodie?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a31a,Chrome hearts hoodie,,$960,$1200,L,(1 day),about 1 hour ago(1 day),https://www.grailed.com/listings/69499043-chrome-hearts-chrome-hearts-hoodie?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a31b,Chrome Hearts Plus Cashmere Navy Scarf,$950,,,OS,(6 days),about 1 hour ago(6 days),https://www.grailed.com/listings/69217252-chrome-hearts-chrome-hearts-plus-cashmere-navy-scarf?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a31c,Chrome Hearts VINTAGE Cross Patch Fleurknee Denim Jacket,$3725,,,M,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68512079-chrome-hearts-chrome-hearts-vintage-cross-patch-fleurknee-denim-jacket?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a31d,Chrome Hearts Small Cross + Crossball Necklace Combo,$4295,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68512028-chrome-hearts-chrome-hearts-small-cross-crossball-necklace-combo?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a31e,Chrome Hearts Quilted Cemetery Clutch,$2895,,,OS,(7 days),about 1 hour ago(7 days),https://www.grailed.com/listings/69217159-chrome-hearts-chrome-hearts-quilted-cemetery-clutch?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a31f,Chrome Hearts OG Roller Pendant,$895,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511955-chrome-hearts-chrome-hearts-og-roller-pendant?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a320,🖤Chrome Hearts🖤 x Barbie 9x12 Framed Poster,$200,,,OS,(7 days),about 1 hour ago(7 days),https://www.grailed.com/listings/69217073-chrome-hearts-chrome-hearts-x-barbie-9x12-framed-poster?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a321,Chrome Hearts Varsity Jacket,$6925,,,M,(15 days),about 1 hour ago(15 days),https://www.grailed.com/listings/68826702-chrome-hearts-chrome-hearts-varsity-jacket?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a322,Chrome Hearts Varsity Jacket,,$7000,$7695,S,(15 days),about 1 hour ago(15 days),https://www.grailed.com/listings/68826641-chrome-hearts-chrome-hearts-varsity-jacket?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a323,Chrome Hearts Double CH Plus Pendant,$895,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511875-chrome-hearts-chrome-hearts-double-ch-plus-pendant?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a324,Chrome Hearts Binder,$825,,,OS,(14 days),about 1 hour ago(14 days),https://www.grailed.com/listings/68869723-chrome-hearts-chrome-hearts-binder?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a325,Chrome Hearts 2-Zip Leather Wallet,$700,,,OS,(7 days),about 1 hour ago(7 days),https://www.grailed.com/listings/69216940-chrome-hearts-chrome-hearts-2-zip-leather-wallet?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a326,Chrome Hearts Double Clip Cuban Link Wallet Chain,$9315,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511777-chrome-hearts-chrome-hearts-double-clip-cuban-link-wallet-chain?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a327,"Chrome Hearts Clasp, Cross & Dagger Keychain",$3450,,,OS,,about 1 hour ago,https://www.grailed.com/listings/69562287-chrome-hearts-chrome-hearts-clasp-cross-dagger-keychain?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a328,Chrome Hearts Dark Havana Grand Beast Aviator Sunglasses,$715,,,OS,,about 1 hour ago,https://www.grailed.com/listings/69562270-chrome-hearts-chrome-hearts-dark-havana-grand-beast-aviator-sunglasses?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a329,Chrome Hearts Y Not Light Work T-Shirt,$950,,,XL,(7 days),about 1 hour ago(7 days),https://www.grailed.com/listings/69216825-chrome-hearts-chrome-hearts-y-not-light-work-t-shirt?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a32a,Chrome Hearts Multicolor Horseshoe logo tee,$350,,,XL,,about 1 hour ago,https://www.grailed.com/listings/69562251-chrome-hearts-chrome-hearts-multicolor-horseshoe-logo-tee?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a32b,Chrome Hearts 22K Angel Medallion Charm Pendant,$7880,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511672-chrome-hearts-chrome-hearts-22k-angel-medallion-charm-pendant?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a32c,Chrome Hearts Patent Leather Furry Slide Sandals,$1745,,,6,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511571-chrome-hearts-chrome-hearts-patent-leather-furry-slide-sandals?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a32d,Chrome Hearts Flareny Leather Notebook Cover,$1150,,,OS,(7 days),about 1 hour ago(7 days),https://www.grailed.com/listings/69216613-chrome-hearts-chrome-hearts-flareny-leather-notebook-cover?g_aidx=Listing_production&g_aqid=6d6b200d3873ffd8a3cd42b5295f267c
671c1df6e382a9df1b29a32e,Diamond Foti Harris Pendant,$1200,,,OS,(3 days),about 1 hour ago(3 days),https://www.grailed.com/listings/69216557-chrome-hearts-diamond-foti-harris-pendant?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a32f,Chrome Hearts Fleur DOC ADAMS Shoulder Bag,$9315,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511211-chrome-hearts-chrome-hearts-fleur-doc-adams-shoulder-bag?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a330,Deep Blue Leather Lucille Tote Carrying Bag,$4995,,,OS,,about 1 hour ago,https://www.grailed.com/listings/69562068-chrome-hearts-deep-blue-leather-lucille-tote-carrying-bag?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a331,Chrome Hearts Embroidered Cross Logo Skull Beanie Black,$405,,,OS,,about 1 hour ago,https://www.grailed.com/listings/69562058-chrome-hearts-chrome-hearts-embroidered-cross-logo-skull-beanie-black?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a332,"Chrome Hearts ""CH Forever"" Spacer Ring - Size 7",$1100,,,OS,(6 days),about 1 hour ago(6 days),https://www.grailed.com/listings/69216445-chrome-hearts-chrome-hearts-ch-forever-spacer-ring-size-7?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a333,Chrome Hearts Hairy Floral Dagger Suede Bag,$3265,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511119-chrome-hearts-chrome-hearts-hairy-floral-dagger-suede-bag?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a334,Chrome Hearts Riot Aviators,,$405,$500,OS,(about 1 month),about 1 hour ago(about 1 month),https://www.grailed.com/listings/67483697-chrome-hearts-chrome-hearts-riot-aviators?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a335,Chrome Hearts Saw,$2995,,,OS,(21 days),about 1 hour ago(21 days),https://www.grailed.com/listings/68511078-chrome-hearts-chrome-hearts-saw?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a336,Chrome Hearts Velvedere D wood temple glasses,,$656,$900,OS,(about 1 month),about 1 hour ago(about 1 month),https://www.grailed.com/listings/67484421-chrome-hearts-chrome-hearts-velvedere-d-wood-temple-glasses?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a337,Chrome Hearts Horseshoe Print Pocket Long Sleeve T-Shirt,$1175,,,L,(6 days),about 1 hour ago(6 days),https://www.grailed.com/listings/69216313-chrome-hearts-chrome-hearts-horseshoe-print-pocket-long-sleeve-t-shirt?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
671c1df6e382a9df1b29a338,Chrome Hearts CH Small Cross Pendant + Leather Necklace,$1525,,,OS,(20 days),about 1 hour ago(20 days),https://www.grailed.com/listings/68511041-chrome-hearts-chrome-hearts-ch-small-cross-pendant-leather-necklace?g_aidx=Listing_production&g_aqid=5cb51dd8579a8ad215a44019d9a0e177
